cell,target,model,brier,bss,auc,n,bss_lo,bss_hi,heidke,peirce
A_trainstation_testyears,cond_12h,persistence,,,,5849,,,0.15845370018764093,0.15784911425406847
A_trainstation_testyears,cond_12h,zambretti,,,,5848,,,0.015805681943745764,0.015882355435372395
A_trainstation_testyears,cond_12h,sager,,,,5649,,,0.0618934529369869,0.07223406474873666
A_trainstation_testyears,cond_24h,persistence,,,,5841,,,0.1745625831370683,0.17389797443134655
A_trainstation_testyears,cond_24h,zambretti,,,,5840,,,0.00044028787508576924,0.0004424939735406579
A_trainstation_testyears,cond_24h,sager,,,,5641,,,0.0692197250662802,0.0808124102180579
C_teststation_testyears,precip_6h,climatology,0.24096537509497323,0.0,0.5185100707031123,2926,,,,
C_teststation_testyears,precip_6h,persistence,0.19138755980861244,0.20574663586758213,0.7436961154109925,2926,,,,
C_teststation_testyears,precip_6h,zambretti_cal,0.25098536858167286,-0.044153083352023614,0.4811664701436287,2904,,,,
C_teststation_testyears,precip_6h,sager_cal,0.2070970255757729,0.14668179510609058,0.7165846310108595,2804,,,,
C_teststation_testyears,precip_6h,logreg,0.1495918639972274,0.37919767959082173,0.8249776501420594,2926,,,,
C_teststation_testyears,precip_6h,sager_faithful,0.32667617689015693,-0.34602961134041665,0.6962354227143441,2804,,,,
C_teststation_testyears,precip_12h,climatology,0.26245420283644083,0.0,0.5348890019598974,2924,,,,
C_teststation_testyears,precip_12h,persistence,0.28522571819425446,-0.08676376720857704,0.6915649027589326,2924,,,,
C_teststation_testyears,precip_12h,zambretti_cal,0.2713461298813828,-0.03561818313779663,0.5119407534587439,2902,,,,
C_teststation_testyears,precip_12h,sager_cal,0.22769110863687542,0.13274913114661835,0.7033778935066531,2802,,,,
C_teststation_testyears,precip_12h,logreg,0.18165131721497407,0.30787423004927994,0.7960010553294135,2924,,,,
C_teststation_testyears,precip_12h,sager_faithful,0.32583868665239113,-0.24108440508320084,0.6772891763885757,2802,,,,
C_teststation_testyears,precip_24h,climatology,0.2542674994936102,0.0,0.5653984024936685,2920,,,,
C_teststation_testyears,precip_24h,persistence,0.4089041095890411,-0.6081650639716025,0.6530781219559711,2920,,,,
C_teststation_testyears,precip_24h,zambretti_cal,0.2630963435295839,-0.035634178045758524,0.5297399302345792,2898,,,,
C_teststation_testyears,precip_24h,sager_cal,0.22806560537626838,0.10104875839057914,0.6878336986119412,2798,,,,
C_teststation_testyears,precip_24h,logreg,0.19082423258388062,0.24951386644412232,0.7762838496006235,2920,,,,
C_teststation_testyears,precip_24h,sager_faithful,0.33238027162258754,-0.3101215212554489,0.6687738593345288,2798,,,,
C_teststation_testyears,windup_6h,climatology,0.19453271248611662,0.0,0.5033918183979313,2926,,,,
C_teststation_testyears,windup_6h,persistence,0.2604237867395762,-0.3387146223962827,0.5,2926,,,,
C_teststation_testyears,windup_6h,zambretti_cal,0.1955205887145653,-0.0032460111702175,0.5254612496219265,2904,,,,
C_teststation_testyears,windup_6h,sager_cal,0.19052930995711517,0.011888519829856059,0.564897379198033,2804,,,,
C_teststation_testyears,windup_6h,logreg,0.1990711008534218,-0.02332969251960182,0.8393862100416746,2926,,,,
C_teststation_testyears,windup_6h,sager_faithful,0.4743223965763195,-1.4599018674049131,0.5136721296643703,2804,,,,
