cell,target,model,brier,bss,auc,n,bss_lo,bss_hi,heidke,peirce
A_trainstation_testyears,precip_6h,climatology,0.18990322462204862,0.0,0.6636678151520085,669057,,,,
A_trainstation_testyears,precip_6h,persistence,0.1691769161670829,0.10914142451354292,0.7209232419483231,669057,,,,
A_trainstation_testyears,precip_6h,zambretti_cal,0.1994885322829958,-0.050851848378204556,0.5794490486724642,666221,-0.05528354396812215,-0.04579457310350346,,
A_trainstation_testyears,precip_6h,sager_cal,0.1508335567966939,0.2118195751465497,0.7714644178189475,631162,0.20713653146443697,0.21666110884581896,,
A_trainstation_testyears,precip_6h,logreg,0.12773086882961948,0.32738967922301754,0.8334109175339137,669057,0.32298671442431004,0.33178407290331696,,
A_trainstation_testyears,precip_6h,sager_faithful,0.3065726390372044,-0.6019946623050367,0.6822113668477537,631162,,,,
A_trainstation_testyears,precip_12h,climatology,0.21941060108484436,0.0,0.6660465570778926,669382,,,,
A_trainstation_testyears,precip_12h,persistence,0.2599995219471094,-0.18499070082110403,0.6676101326236544,669382,,,,
A_trainstation_testyears,precip_12h,zambretti_cal,0.23204051740568474,-0.05777634396580145,0.5846667881875605,666492,-0.06303757751772138,-0.05173302980305245,,
A_trainstation_testyears,precip_12h,sager_cal,0.19153912040707743,0.13092858461425583,0.7295940017400236,631518,0.12606752379687766,0.1362253734035548,,
A_trainstation_testyears,precip_12h,logreg,0.1684570672467374,0.23222913380745736,0.7929876750828416,669382,0.22746601804263586,0.23679926170402443,,
A_trainstation_testyears,precip_12h,sager_faithful,0.32644675211157875,-0.4811884919526126,0.658010891664287,631518,,,,
A_trainstation_testyears,precip_24h,climatology,0.22831019740488934,0.0,0.6762245531939626,668829,,,,
A_trainstation_testyears,precip_24h,persistence,0.38374831234889634,-0.680819852598832,0.6293871645003734,668829,,,,
A_trainstation_testyears,precip_24h,zambretti_cal,0.2448521477193666,-0.07254237062460334,0.5873526649053569,666074,-0.07897716183131617,-0.0646261974331745,,
A_trainstation_testyears,precip_24h,sager_cal,0.21649325691660734,0.05282213384189216,0.6959762665082625,631213,0.0470235463996829,0.05963805702143748,,
A_trainstation_testyears,precip_24h,logreg,0.19432897775569405,0.1488379408166881,0.7646303464236213,668829,0.14371803174942155,0.15472010561984045,,
A_trainstation_testyears,precip_24h,sager_faithful,0.3679914703911358,-0.60999645279355,0.6366894512254759,631213,,,,
A_trainstation_testyears,windup_6h,climatology,0.18767576521132112,0.0,0.5786455856489037,661937,,,,
A_trainstation_testyears,windup_6h,persistence,0.25560287459380576,-0.3619386302008645,0.5,661937,,,,
A_trainstation_testyears,windup_6h,zambretti_cal,0.18898134927275273,-0.007804289822502586,0.5554527207038122,659133,-0.008627709742035122,-0.006952794258846695,,
